n,dot_time,mult_time
1000,1.386e-6,0.000674493
1000,3.34e-7,0.000154767
1000,3.36e-7,0.00017097
1000,3.3e-7,0.000220797
1000,3.31e-7,0.000168542
1000,3.32e-7,0.000172483
1000,3.36e-7,0.000317281
1000,3.35e-7,0.000251216
1000,3.33e-7,0.000162285
1000,2.79e-7,0.000367348
2000,5.98e-7,0.001911465
2000,6.02e-7,0.006539993
2000,5.87e-7,0.001146743
2000,5.9e-7,0.001151883
2000,5.93e-7,0.0012961
2000,5.98e-7,0.001091437
2000,6.02e-7,0.001070063
2000,5.86e-7,0.00108596
2000,5.86e-7,0.001138112
2000,5.96e-7,0.001072068
3000,9.37e-7,0.0031964
3000,9.58e-7,0.008185486
3000,9.39e-7,0.002531275
3000,9.54e-7,0.002727987
3000,9.7e-7,0.002920114
3000,9.5e-7,0.002662645
3000,9.71e-7,0.00226423
3000,9.24e-7,0.002524114
3000,9.39e-7,0.002303752
3000,9.41e-7,0.002479843
4000,1.341e-6,0.004256762
4000,1.346e-6,0.006105463
4000,1.362e-6,0.004031536
4000,1.341e-6,0.00484708
4000,1.339e-6,0.004539699
4000,1.417e-6,0.004110679
4000,1.361e-6,0.003910628
4000,1.337e-6,0.004155565
4000,1.348e-6,0.00393456
4000,1.329e-6,0.003865397
5000,1.681e-6,0.007464694
5000,1.679e-6,0.007085787
5000,1.675e-6,0.007141365
5000,1.882e-6,0.006715071
5000,1.709e-6,0.007756455
5000,1.698e-6,0.011227729
5000,1.715e-6,0.007340539
5000,1.701e-6,0.00738237
5000,1.707e-6,0.008108126
5000,1.767e-6,0.006960432
6000,2.032e-6,0.009351251
6000,2.009e-6,0.010062186
6000,1.973e-6,0.01078959
6000,2.041e-6,0.010646109
6000,1.99e-6,0.009685763
6000,2.015e-6,0.009360104
6000,1.997e-6,0.010414135
6000,2.001e-6,0.0096256
6000,2.0e-6,0.010136736
6000,2.135e-6,0.009821853
7000,2.35e-6,0.013335917
7000,2.295e-6,0.012082681
7000,2.401e-6,0.013405628
7000,2.418e-6,0.015013979
7000,2.351e-6,0.012701625
7000,2.334e-6,0.011798664
7000,2.345e-6,0.014644152
7000,2.319e-6,0.014088906
7000,2.328e-6,0.015133511
7000,2.362e-6,0.013364986
8000,2.627e-6,0.016483198
8000,2.637e-6,0.018975605
8000,2.645e-6,0.020489323
8000,2.657e-6,0.017647564
8000,2.66e-6,0.024805536
8000,2.655e-6,0.017530087
8000,2.7e-6,0.017819184
8000,2.663e-6,0.016906998
8000,2.632e-6,0.017738509
8000,2.639e-6,0.019207262
9000,2.998e-6,0.022798438
9000,2.955e-6,0.020639258
9000,3.132e-6,0.021514943
9000,3.002e-6,0.022000026
9000,3.068e-6,0.022193985
9000,3.5119e-6,0.022179946
9000,3.124e-6,0.020969079
9000,2.972e-6,0.022246198
9000,2.974e-6,0.022915149
9000,2.966e-6,0.022123034
10000,3.311e-6,0.02601986
10000,3.336e-6,0.027242755
10000,3.274e-6,0.02735
10000,3.328e-6,0.02807829
10000,3.273e-6,0.026715187
10000,3.261e-6,0.026445995
10000,3.358e-6,0.027040763
10000,3.5e-6,0.027406417
10000,3.417e-6,0.026225834
10000,3.265e-6,0.027135039
