n;naive;better;gsl
100;0.002724;0.003444;0.000729
100;0.002876;0.003301;0.000542
100;0.002732;0.003464;0.000441
100;0.002483;0.003604;0.000540
100;0.002545;0.003304;0.000530
100;0.002415;0.003181;0.000510
100;0.002582;0.003244;0.000565
100;0.002436;0.003147;0.000537
100;0.002413;0.003134;0.000516
100;0.002436;0.003110;0.000506
200;0.021612;0.025399;0.004147
200;0.021992;0.024336;0.004009
200;0.021912;0.025449;0.004119
200;0.022003;0.024828;0.003962
200;0.021630;0.024899;0.004041
200;0.022925;0.024873;0.003943
200;0.021435;0.024376;0.004031
200;0.022486;0.024768;0.004013
200;0.021606;0.024956;0.003975
200;0.021269;0.025001;0.003999
300;0.080239;0.082879;0.013326
300;0.078877;0.083517;0.013486
300;0.077931;0.084100;0.014070
300;0.079658;0.086010;0.014062
300;0.080457;0.085658;0.013520
300;0.078935;0.084583;0.013319
300;0.078342;0.084408;0.013741
300;0.078927;0.082797;0.013394
300;0.077589;0.084628;0.013153
300;0.078777;0.084232;0.013198
400;0.193820;0.197731;0.031225
400;0.191474;0.196833;0.032059
400;0.193425;0.201166;0.031443
400;0.191551;0.199174;0.032033
400;0.189783;0.199535;0.031762
400;0.193635;0.196924;0.031073
400;0.193866;0.198514;0.031390
400;0.201944;0.196775;0.031096
400;0.203898;0.213958;0.037184
400;0.238907;0.207923;0.033580
500;0.482347;0.390793;0.060524
500;0.389772;0.396767;0.062019
500;0.392078;0.387031;0.060105
500;0.391434;0.387031;0.060379
500;0.389119;0.384446;0.062370
500;0.396409;0.388287;0.060588
500;0.390557;0.388302;0.060825
500;0.394070;0.389691;0.060873
500;0.389848;0.388500;0.061404
500;0.389329;0.395589;0.062943
600;0.696190;0.692051;0.105098
600;0.677635;0.669815;0.104350
600;0.692277;0.669466;0.106346
600;0.685903;0.674618;0.103947
600;0.680888;0.669867;0.104007
600;0.680448;0.684025;0.106933
600;0.678833;0.672230;0.107821
600;0.682313;0.669892;0.105625
600;0.694357;0.692638;0.105008
600;0.683407;0.674620;0.106723
700;1.231102;1.115506;0.174067
700;1.094196;1.094822;0.175053
700;1.102143;1.091973;0.176170
700;1.122502;1.092222;0.175609
700;1.086435;1.091447;0.174293
700;1.100599;1.093937;0.180244
700;1.125117;1.102451;0.178302
700;1.109430;1.107766;0.175957
700;1.107670;1.103677;0.177401
700;1.105061;1.098551;0.178402
800;1.695791;1.641907;0.266763
800;1.685131;1.631259;0.273435
800;1.688279;1.635284;0.274432
800;1.707556;1.620039;0.270474
800;1.675312;1.609910;0.264664
800;1.671135;1.602579;0.264601
800;1.683606;1.599519;0.263598
800;1.670500;1.616854;0.265246
800;1.676889;1.600124;0.276181
800;1.692396;1.604646;0.263654
900;2.579565;2.282495;0.378530
900;2.547968;2.286246;0.379386
900;2.572292;2.282908;0.381454
900;2.596401;2.289584;0.383442
900;2.550550;2.280980;0.379116
900;2.505799;2.305153;0.385854
900;2.549130;2.282284;0.383261
900;2.561982;2.279883;0.380057
900;2.577010;2.298127;0.379763
900;2.551278;2.307112;0.381139
1000;3.972772;3.179598;0.551731
1000;3.928183;3.173613;0.542591
1000;4.005590;3.174190;0.559956
1000;3.902957;3.165840;0.553142
1000;4.019652;3.143806;0.565310
1000;3.911595;3.171584;0.547572
1000;3.990152;3.183790;0.551279
1000;4.012667;3.182912;0.549895
1000;3.944960;3.174484;0.551623
1000;3.956848;3.156898;0.548204
